ip,platform,posture
118.184.171.90,FATE-FL,AUTH_OFF
39.101.129.55,FATE-FL,AUTH_OFF
39.104.203.187,FATE-FL,AUTH_OFF
150.129.138.81,FATE-FL,AUTH_OFF
