rank	ip	platform	posture	surprisal_nats	pop_freq	cohort_share	off_equilibrium
55	54.180.117.151	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
56	54.94.226.81	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
57	54.206.129.120	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
58	98.92.210.48	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
59	43.208.243.207	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
60	54.253.167.61	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
61	56.155.99.29	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
62	54.253.183.151	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
63	43.218.124.29	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
64	3.137.167.45	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
65	98.130.11.240	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
66	15.152.16.241	Tabby-Shadow	AUTH_OFF	0.1376	0.9091	0.0000	
