target,version,auth_state,method
http://51.178.30.97:8000,,,
http://51.210.245.202:8010,,,
http://51.68.170.105:8000,,,
http://52.43.204.24:8000,,,
http://54.149.174.253:8000,,,
http://59.110.231.38:8000,,,
http://61.52.219.84:8000,,,
http://64.176.56.153:8000,,,
http://64.227.148.239:9000,,,
http://64.23.150.107:8000,,,
http://66.42.49.230:8000,,,
http://68.183.77.105:8000,,,
http://74.226.250.145:8000,,,
http://74.249.34.151:9000,,,
http://75.181.102.77:8000,,,
http://77.42.35.4:8000,,,
http://8.138.34.13:8010,,,
http://8.140.17.238:8000,,,
http://8.140.219.51:9000,,,
http://81.17.96.189:8000,,,
http://81.17.98.236:8000,,,
http://81.92.219.68:8000,,,
http://82.165.40.85:8000,,,
http://84.201.137.246:8000,,,
http://84.46.254.215:8000,,,
http://88.99.94.115:8049,,,
http://89.167.127.41:8000,,,
http://89.208.251.96:8000,,,
http://91.98.172.75:8000,,,
http://92.118.26.124:8000,,,
http://92.222.158.250:8100,,,
http://95.111.214.79:8000,,,
