target,version,auth_state,vulnerable,method
http://20.121.137.52:3000,2.2.7-patch.1,unauth,,/api/v1/version
http://20.165.4.106:3000,,unauth,,
http://20.168.250.89:3000,,,,
http://20.23.219.101:3000,,,,
http://20.74.158.199:3000,,,,
http://20.82.236.45:3000,,unauth,,
http://205.209.121.69:3000,,unauth,,
http://206.189.147.189:3000,,unauth,,
http://209.38.76.49:3000,,unauth,,
http://213.199.60.159:3000,,unauth,,
http://3.132.23.64:3000,,,,
http://3.135.8.210:3000,,,,
http://3.149.192.154:3000,,,,
http://3.219.1.166:3000,2.2.6-hotfix.1,unauth,,/api/v1/version
http://3.238.55.152:3000,,,,
http://3.248.28.32:3000,,,,
http://3.254.218.213:3000,,,,
http://3.81.151.3:3000,,,,
http://32.194.232.143:3000,,,,
http://34.148.151.154:3000,,,,
http://34.202.132.111:3000,,,,
http://34.205.149.76:3000,,,,
http://34.59.23.193:3000,,,,
http://34.74.147.150:3000,,,,
http://34.90.89.25:3000,,,,
http://35.158.113.103:3000,,,,
http://35.173.200.51:3000,,,,
http://35.187.234.226:3000,,,,
http://35.205.3.5:3000,,,,
http://37.27.28.254:3000,,,,
http://37.60.255.27:3000,,unauth,,
http://4.152.114.250:3000,,,,
http://4.152.114.77:3000,,,,
http://4.157.195.78:3000,,unauth,,
http://4.175.136.176:3000,,unauth,,
http://4.240.84.170:3000,,unauth,,
http://40.82.153.149:3000,,,,
http://40.82.155.231:3000,,,,
http://42.96.40.187:3000,,,,
http://42.96.40.82:8080,,unauth,,
http://45.10.16.20:3000,,,,
http://45.32.8.25:3000,,,,
http://47.93.45.152:3000,,,,
http://5.161.107.189:3000,,unauth,,
http://5.223.52.24:3000,,,,
http://50.85.198.215:3000,,,,
http://51.105.182.178:3000,,,,
http://51.112.88.176:3000,,,,
http://51.159.170.54:3000,,unauth,,
http://52.17.25.101:3000,,,,
http://52.3.45.224:3000,,,,
http://52.88.254.102:3000,,,,
http://54.146.50.190:3000,,,,
http://54.153.228.209:3000,,,,
http://54.163.177.26:3000,,,,
http://54.167.110.19:3000,,,,
http://54.236.150.85:3000,,,,
http://54.38.62.211:3000,,,,
http://54.76.192.54:3000,,,,
http://57.165.114.155:3000,,unauth,,
http://62.169.30.123:3000,,unauth,,
http://62.171.187.152:8085,,unauth,,
http://64.226.126.248:3000,,,,
http://64.227.44.80:3000,,unauth,,
http://64.227.46.111:3000,,unauth,,
http://64.227.99.184:3000,2.2.7-patch.1,unauth,,/api/v1/version
http://65.109.128.188:3000,,,,
http://67.207.95.149:3000,,unauth,,
http://74.177.196.77:3000,2.2.7-patch.1,unauth,,/api/v1/version
http://8.140.154.255:3000,,,,
http://82.165.244.240:8080,,unauth,,
http://84.8.106.239:3000,,,,
http://85.214.145.207:3000,,,,
http://89.117.147.97:3000,,unauth,,
http://91.99.77.106:3000,,,,
http://98.80.3.224:3000,,,,
http://98.90.89.108:3000,,,,
http://98.95.0.58:3000,,,,
