target,platform,confirmed,version,auth,severity,customer,license_expiry,shadow_unauth_count,notes
https://194.87.115.10:443,langfuse,true,2.95.11,auth,info,,,0,Legacy Langfuse v2.x deployment
https://20.106.201.34:443,langfuse,true,3.169.0,auth,info,,,0,
https://20.107.52.144:443,langfuse,true,3.132.0,auth,info,,,0,
https://20.115.121.3:443,langfuse,true,3.160.0,auth,info,,,0,
https://20.127.144.97:443,langfuse,true,3.130.0,auth,info,,,0,
https://20.13.129.233:443,langfuse,true,3.85.2,auth,info,,,0,
https://20.160.40.184:443,langfuse,true,3.153.0,auth,info,,,0,
https://20.198.22.109:443,langfuse,true,3.162.0,auth,info,,,0,
https://20.212.233.49:443,langfuse,true,2.95.11,auth,info,,,0,Legacy Langfuse v2.x deployment
https://20.232.245.136:443,langfuse,true,3.163.0,auth,info,,,0,
https://20.234.34.226:443,langfuse,true,3.139.0,auth,info,,,0,
https://20.242.97.201:443,langfuse,true,3.160.0,auth,info,,,0,
https://20.245.96.204:443,langfuse,true,3.138.0,auth,info,,,0,
https://20.4.67.220:443,langfuse,true,3.76.0,auth,info,,,0,
https://20.42.46.103:443,langfuse,true,3.106.3,auth,info,,,0,
https://20.54.168.131:443,langfuse,true,3.157.0,auth,info,,,0,
https://20.56.97.214:443,langfuse,true,3.150.0,auth,info,,,0,
https://20.63.51.253:443,langfuse,true,3.160.0,auth,info,,,0,
https://20.97.226.152:443,langfuse,true,3.161.0,auth,info,,,0,
https://20.99.232.208:443,langfuse,true,3.164.0,auth,info,,,0,
https://207.38.87.133:443,langfuse,true,2.95.11,auth,info,,,0,Legacy Langfuse v2.x deployment
https://211.35.70.3:443,langfuse,true,3.160.0,auth,info,,,0,
https://223.130.155.67:443,langfuse,true,3.172.0,auth,info,,,0,
https://23.22.132.145:443,langfuse,true,3.162.0,auth,info,,,0,
https://23.22.167.235:443,langfuse,true,3.163.0,auth,info,,,0,
https://23.22.40.7:443,langfuse,true,3.140.0,auth,info,,,0,
https://23.227.200.182:443,langfuse,true,3.151.0,auth,info,,,0,
https://3.13.219.207:443,langfuse,true,3.172.1,auth,info,,,0,
https://3.14.85.1:443,langfuse,true,3.162.0,auth,info,,,0,
https://3.147.221.243:443,langfuse,true,3.143.0,auth,info,,,0,
https://3.151.43.169:443,langfuse,true,3.167.1,auth,info,,,0,
https://3.16.183.38:443,langfuse,true,3.144.0,auth,info,,,0,
https://3.20.65.178:443,langfuse,true,3.171.0,auth,info,,,0,
https://3.209.175.149:443,langfuse,true,3.171.0,auth,info,,,0,
https://3.215.39.171:443,langfuse,true,3.172.1,auth,info,,,0,
https://3.228.97.182:443,langfuse,true,3.167.4,auth,info,,,0,
https://3.230.103.225:443,langfuse,true,3.172.1,auth,info,,,0,
https://3.231.80.1:443,langfuse,true,3.163.0,auth,info,,,0,
https://3.233.109.164:443,langfuse,true,3.173.0,auth,info,,,0,
https://3.239.231.128:443,langfuse,true,3.160.0,auth,info,,,0,
https://3.35.40.102:443,langfuse,true,3.169.0,auth,info,,,0,
https://3.69.232.116:443,langfuse,true,3.155.1,auth,info,,,0,
https://3.7.252.66:443,langfuse,true,3.162.0,auth,info,,,0,
https://3.82.140.194:443,langfuse,true,3.167.4,auth,info,,,0,
https://3.83.200.168:443,langfuse,true,3.43.0,auth,info,,,0,
https://3.85.80.230:443,langfuse,true,3.91.0,auth,info,,,0,
https://3.90.12.32:443,langfuse,true,3.169.0,auth,info,,,0,
https://3.93.7.41:443,langfuse,true,3.171.0,auth,info,,,0,
https://32.184.74.139:443,langfuse,true,3.155.1,auth,info,,,0,
https://32.196.181.128:443,langfuse,true,3.172.1,auth,info,,,0,
https://32.236.75.65:443,langfuse,true,3.64.0,auth,info,,,0,
https://34.102.243.8:443,langfuse,true,3.157.0,auth,info,,,0,
https://34.107.163.93:443,langfuse,true,3.163.0,auth,info,,,0,
https://34.110.236.110:443,langfuse,true,3.162.0,auth,info,,,0,
https://34.116.236.41:443,langfuse,true,2.95.9,auth,info,,,0,Legacy Langfuse v2.x deployment
https://34.117.185.53:443,langfuse,true,3.148.0,auth,info,,,0,
https://34.117.39.32:443,langfuse,true,3.157.0,auth,info,,,0,
https://34.128.165.218:443,langfuse,true,3.160.0,auth,info,,,0,
https://34.135.119.28:443,langfuse,true,3.172.1,auth,info,,,0,
https://34.144.233.160:443,langfuse,true,3.172.1,auth,info,,,0,
https://34.149.222.57:443,langfuse,true,3.153.0,auth,info,,,0,
https://34.149.251.71:443,langfuse,true,3.159.0,auth,info,,,0,
https://34.149.28.64:443,langfuse,true,3.152.0,auth,info,,,0,
https://34.149.71.175:443,langfuse,true,3.162.0,auth,info,,,0,
https://34.149.82.226:443,langfuse,true,3.155.1,auth,info,,,0,
https://34.16.43.246:443,langfuse,true,3.170.0,auth,info,,,0,
https://34.202.223.131:443,langfuse,true,3.163.0,auth,info,,,0,
https://34.206.255.115:443,langfuse,true,3.112.0,auth,info,,,0,
https://34.208.255.178:443,langfuse,true,3.155.1,auth,info,,,0,
https://34.209.16.186:443,langfuse,true,3.169.0,auth,info,,,0,
https://34.218.145.125:443,langfuse,true,3.106.3,auth,info,,,0,
https://34.231.4.107:443,langfuse,true,3.172.1,auth,info,,,0,
https://34.236.40.61:443,langfuse,true,3.98.2,auth,info,,,0,
https://34.245.11.213:443,langfuse,true,2.81.0,auth,info,,,0,Legacy Langfuse v2.x deployment
https://34.250.25.84:443,langfuse,true,3.112.0,auth,info,,,0,
https://34.28.116.232:443,langfuse,true,3.118.0,auth,info,,,0,
https://34.36.1.205:443,langfuse,true,3.171.0,auth,info,,,0,
https://34.36.153.77:443,langfuse,true,3.112.0,auth,info,,,0,
https://34.36.56.223:443,langfuse,true,3.167.4,auth,info,,,0,
https://34.36.84.215:443,langfuse,true,3.172.1,auth,info,,,0,
https://34.48.1.34:443,langfuse,true,3.171.0,auth,info,,,0,
https://34.49.170.148:443,langfuse,true,3.112.0,auth,info,,,0,
https://34.49.206.243:443,langfuse,true,3.133.0,auth,info,,,0,
https://34.54.38.232:443,langfuse,true,3.173.0,auth,info,,,0,
https://34.76.111.225:443,langfuse,true,3.164.0,auth,info,,,0,
https://34.78.131.46:443,langfuse,true,3.57.0,auth,info,,,0,
https://34.8.101.156:443,langfuse,true,2.95.11,auth,info,,,0,Legacy Langfuse v2.x deployment
https://34.8.103.159:443,langfuse,true,2.95.11,auth,info,,,0,Legacy Langfuse v2.x deployment
https://34.8.113.212:443,langfuse,true,2.95.11,auth,info,,,0,Legacy Langfuse v2.x deployment
