rank	ip	platform	posture	surprisal_nats	pop_freq	cohort_share	off_equilibrium
1	124.163.255.214	LMDeploy	NET_ISOLATED	0.4055	1.0000	0.0000	
2	115.191.10.126	LMDeploy	NET_ISOLATED	0.4055	1.0000	0.0000	
3	120.237.103.186	LMDeploy	NET_ISOLATED	0.4055	1.0000	0.0000	
4	46.62.204.42	LMDeploy	NET_ISOLATED	0.4055	1.0000	0.0000	
5	65.108.11.238	LMDeploy	NET_ISOLATED	0.4055	1.0000	0.0000	
